survey,country,publishedposts,num_posts,platforms,Plan Level,Products,Products_bins,country,publishedposts,num_posts,platforms,Products,Products_bins
2021-09-04,US,30,0-100,SHOPIFY,Pro,81,0-100,US,30,0-100,SHOPIFY,81,0-100
2021-09-04,TR,0,0-100,SHOPIFY,Pro,1,0-100,TR,0,0-100,SHOPIFY,1,0-100
2021-09-04,US,30,0-100,SHOPIFY,Pro,198,100-1k,US,30,0-100,SHOPIFY,198,100-1k
2021-09-04,US,1,0-100,SHOPIFY,Pro,42,0-100,US,1,0-100,SHOPIFY,42,0-100
2021-09-04,US,0,0-100,SHOPIFY,Free,923,100-1k,US,0,0-100,SHOPIFY,923,100-1k
2021-09-04,FR,1,0-100,SHOPIFY,Free,53,0-100,FR,1,0-100,SHOPIFY,53,0-100
2021-09-03,FR,123,100-1k,SHOPIFY,SuperPro,1294,1-10k,FR,123,100-1k,SHOPIFY,1294,1-10k
2021-09-03,US,0,0-100,SHOPIFY,SuperPro,12,0-100,US,0,0-100,SHOPIFY,12,0-100
2021-09-03,US,9,0-100,SHOPIFY,Free,647,100-1k,US,9,0-100,SHOPIFY,647,100-1k
2021-09-03,US,2,0-100,SHOPIFY,Free,95,0-100,US,2,0-100,SHOPIFY,95,0-100
2021-09-03,GB,0,0-100,SHOPIFY,Free,49,0-100,GB,0,0-100,SHOPIFY,49,0-100
2021-09-03,CA,3,0-100,SHOPIFY,Pro,34,0-100,CA,3,0-100,SHOPIFY,34,0-100
2021-09-03,US,133,100-1k,SHOPIFY,Pro,13519,10-30k,US,133,100-1k,SHOPIFY,13519,10-30k
2021-09-03,US,0,0-100,SHOPIFY,Pro,10,0-100,US,0,0-100,SHOPIFY,10,0-100
2021-09-03,DE,9,0-100,SHOPIFY,Free,68,0-100,DE,9,0-100,SHOPIFY,68,0-100
2021-09-03,US,0,0-100,SHOPIFY,Free,611,100-1k,US,0,0-100,SHOPIFY,611,100-1k
2021-09-03,FR,1,0-100,SHOPIFY,Free,1,0-100,FR,1,0-100,SHOPIFY,1,0-100
2021-09-03,CN,0,0-100,SHOPIFY,Free,36,0-100,CN,0,0-100,SHOPIFY,36,0-100
2021-09-03,US,0,0-100,SHOPIFY,Free,885,100-1k,US,0,0-100,SHOPIFY,885,100-1k
2021-09-03,US,208,100-1k,SHOPIFY,Pro,378,100-1k,US,208,100-1k,SHOPIFY,378,100-1k
2021-09-03,ES,0,0-100,SHOPIFY,Pro,25,0-100,ES,0,0-100,SHOPIFY,25,0-100
2021-09-03,ES,2,0-100,SHOPIFY,Free,73,0-100,ES,2,0-100,SHOPIFY,73,0-100
2021-09-03,US,0,0-100,BIGCOMMERCE,Free,0,0-100,US,0,0-100,BIGCOMMERCE,0,0-100
2021-09-02,US,16,0-100,SHOPIFY,Pro,210,100-1k,US,16,0-100,SHOPIFY,210,100-1k
2021-09-02,US,19,0-100,SHOPIFY,Pro,311,100-1k,US,19,0-100,SHOPIFY,311,100-1k
2021-09-02,US,2,0-100,SHOPIFY,Free,8,0-100,US,2,0-100,SHOPIFY,8,0-100
2021-09-02,DE,8,0-100,SHOPIFY,Free,12,0-100,DE,8,0-100,SHOPIFY,12,0-100
2021-09-02,US,20,0-100,SHOPIFY,Pro,417,100-1k,US,20,0-100,SHOPIFY,417,100-1k
2021-09-02,GB,0,0-100,SHOPIFY,Pro,0,0-100,GB,0,0-100,SHOPIFY,0,0-100
2021-09-02,GB,10,0-100,SHOPIFY,Free,384,100-1k,GB,10,0-100,SHOPIFY,384,100-1k
2021-09-02,GB,0,0-100,SHOPIFY,Free,0,0-100,GB,0,0-100,SHOPIFY,0,0-100
2021-09-02,US,34,0-100,SHOPIFY,Pro,24,0-100,US,34,0-100,SHOPIFY,24,0-100
2021-09-02,CN,2,0-100,SHOPIFY,Pro,29,0-100,CN,2,0-100,SHOPIFY,29,0-100
2021-09-02,US,600,100-1k,SHOPIFY,SuperPro,349,100-1k,US,600,100-1k,SHOPIFY,349,100-1k
2021-09-02,MX,0,0-100,SHOPIFY,SuperPro,7,0-100,MX,0,0-100,SHOPIFY,7,0-100
2021-09-02,US,0,0-100,SHOPIFY,Free,237,100-1k,US,0,0-100,SHOPIFY,237,100-1k
2021-09-01,GB,0,0-100,SHOPIFY,Free,0,0-100,GB,0,0-100,SHOPIFY,0,0-100
2021-09-01,US,0,0-100,SHOPIFY,Free,203,100-1k,US,0,0-100,SHOPIFY,203,100-1k
2021-09-01,US,9,0-100,SHOPIFY,Free,28,0-100,US,9,0-100,SHOPIFY,28,0-100
2021-09-01,GB,0,0-100,SHOPIFY,Free,1128,1-10k,GB,0,0-100,SHOPIFY,1128,1-10k
2021-09-01,US,0,0-100,SHOPIFY,Free,79,0-100,US,0,0-100,SHOPIFY,79,0-100
2021-09-01,US,1,0-100,SHOPIFY,Free,646,100-1k,US,1,0-100,SHOPIFY,646,100-1k
2021-09-01,US,193,100-1k,SHOPIFY,Pro,106,100-1k,US,193,100-1k,SHOPIFY,106,100-1k
2021-09-01,US,0,0-100,SHOPIFY,Pro,27,0-100,US,0,0-100,SHOPIFY,27,0-100
2021-08-31,US,0,0-100,SHOPIFY,Free,25,0-100,US,0,0-100,SHOPIFY,25,0-100
2021-08-31,US,0,0-100,SHOPIFY,Free,41,0-100,US,0,0-100,SHOPIFY,41,0-100
2021-08-31,US,1,0-100,SHOPIFY,Free,471,100-1k,US,1,0-100,SHOPIFY,471,100-1k
2021-08-31,GB,0,0-100,SHOPIFY,Free,1244,1-10k,GB,0,0-100,SHOPIFY,1244,1-10k
2021-08-31,US,1,0-100,SHOPIFY,Free,101,100-1k,US,1,0-100,SHOPIFY,101,100-1k
2021-08-31,US,0,0-100,SHOPIFY,Free,11,0-100,US,0,0-100,SHOPIFY,11,0-100
2021-08-31,NULL,0,0-100,SHOPIFY,Free,6,0-100,NULL,0,0-100,SHOPIFY,6,0-100
2021-08-31,NL,0,0-100,SHOPIFY,Free,664,100-1k,NL,0,0-100,SHOPIFY,664,100-1k
2021-08-31,US,0,0-100,SHOPIFY,Free,405,100-1k,US,0,0-100,SHOPIFY,405,100-1k
2021-08-31,US,0,0-100,SHOPIFY,Free,36,0-100,US,0,0-100,SHOPIFY,36,0-100
2021-08-31,US,0,0-100,SHOPIFY,Free,77,0-100,US,0,0-100,SHOPIFY,77,0-100
2021-08-30,NULL,1,0-100,SHOPIFY,Free,11755,10-30k,NULL,1,0-100,SHOPIFY,11755,10-30k
2021-08-30,US,0,0-100,SHOPIFY,Free,969,100-1k,US,0,0-100,SHOPIFY,969,100-1k
2021-08-30,US,0,0-100,SHOPIFY,Free,69,0-100,US,0,0-100,SHOPIFY,69,0-100
2021-08-30,US,1,0-100,SHOPIFY,Free,33,0-100,US,1,0-100,SHOPIFY,33,0-100
2021-08-30,CA,3,0-100,SHOPIFY,Free,235,100-1k,CA,3,0-100,SHOPIFY,235,100-1k
2021-08-30,US,0,0-100,SHOPIFY,Free,33,0-100,US,0,0-100,SHOPIFY,33,0-100
2021-08-30,GB,1,0-100,SHOPIFY,Free,136,100-1k,GB,1,0-100,SHOPIFY,136,100-1k
2021-08-30,CN,0,0-100,SHOPIFY,Free,0,0-100,CN,0,0-100,SHOPIFY,0,0-100
2021-08-30,US,0,0-100,SHOPIFY,Free,0,0-100,US,0,0-100,SHOPIFY,0,0-100
2021-08-30,US,33,0-100,SHOPIFY,Pro,141,100-1k,US,33,0-100,SHOPIFY,141,100-1k
2021-08-30,US,0,0-100,SHOPIFY,Pro,969,100-1k,US,0,0-100,SHOPIFY,969,100-1k
2021-08-30,US,61,0-100,SHOPIFY,Pro,95,0-100,US,61,0-100,SHOPIFY,95,0-100
2021-08-30,US,46,0-100,SHOPIFY,Pro,534,100-1k,US,46,0-100,SHOPIFY,534,100-1k
2021-08-29,IL,0,0-100,SHOPIFY,Pro,9,0-100,IL,0,0-100,SHOPIFY,9,0-100
2021-08-29,US,13,0-100,SHOPIFY,Pro,40,0-100,US,13,0-100,SHOPIFY,40,0-100
2021-08-29,US,0,0-100,SHOPIFY,Pro,65,0-100,US,0,0-100,SHOPIFY,65,0-100
2021-08-29,US,106,100-1k,SHOPIFY,Pro,1024,1-10k,US,106,100-1k,SHOPIFY,1024,1-10k
2021-08-29,GB,82,0-100,SHOPIFY,Pro,286,100-1k,GB,82,0-100,SHOPIFY,286,100-1k
2021-08-29,GB,0,0-100,SHOPIFY,Pro,1274,1-10k,GB,0,0-100,SHOPIFY,1274,1-10k
2021-08-29,US,0,0-100,SHOPIFY,Free,55,0-100,US,0,0-100,SHOPIFY,55,0-100
2021-08-29,TW,0,0-100,SHOPIFY,Free,121,100-1k,TW,0,0-100,SHOPIFY,121,100-1k
2021-08-29,US,0,0-100,SHOPIFY,Free,287,100-1k,US,0,0-100,SHOPIFY,287,100-1k
2021-08-29,GB,0,0-100,SHOPIFY,Free,51,0-100,GB,0,0-100,SHOPIFY,51,0-100
2021-08-29,US,0,0-100,SHOPIFY,Free,2,0-100,US,0,0-100,SHOPIFY,2,0-100
2021-08-28,US,51,0-100,SHOPIFY,Pro,63,0-100,US,51,0-100,SHOPIFY,63,0-100
2021-08-28,US,0,0-100,SHOPIFY,Pro,1989,1-10k,US,0,0-100,SHOPIFY,1989,1-10k
2021-08-28,US,0,0-100,SHOPIFY,Free,898,100-1k,US,0,0-100,SHOPIFY,898,100-1k
2021-08-28,US,3,0-100,SHOPIFY,Free,407,100-1k,US,3,0-100,SHOPIFY,407,100-1k
2021-08-28,US,1,0-100,SHOPIFY,Free,12,0-100,US,1,0-100,SHOPIFY,12,0-100
2021-08-28,US,446,100-1k,SHOPIFY,SuperPro,2659,1-10k,US,446,100-1k,SHOPIFY,2659,1-10k
2021-08-27,BR,0,0-100,SHOPIFY,SuperPro,393,100-1k,BR,0,0-100,SHOPIFY,393,100-1k
2021-08-27,US,0,0-100,SHOPIFY,Free,15,0-100,US,0,0-100,SHOPIFY,15,0-100
2021-08-27,CN,62,0-100,SHOPIFY,Pro,739,100-1k,CN,62,0-100,SHOPIFY,739,100-1k
2021-08-27,US,81,0-100,SHOPIFY,Pro,688,100-1k,US,81,0-100,SHOPIFY,688,100-1k
2021-08-27,US,0,0-100,SHOPIFY,Pro,42,0-100,US,0,0-100,SHOPIFY,42,0-100
2021-08-27,US,0,0-100,SHOPIFY,Free,0,0-100,US,0,0-100,SHOPIFY,0,0-100
2021-08-27,US,23,0-100,SHOPIFY,Pro,7,0-100,US,23,0-100,SHOPIFY,7,0-100
2021-08-26,US,0,0-100,SHOPIFY,Pro,2611,1-10k,US,0,0-100,SHOPIFY,2611,1-10k
2021-08-26,GB,24,0-100,SHOPIFY,Pro,1,0-100,GB,24,0-100,SHOPIFY,1,0-100
2021-08-26,US,6,0-100,SHOPIFY,Pro,32,0-100,US,6,0-100,SHOPIFY,32,0-100
2021-08-25,US,0,0-100,SHOPIFY,Free,36,0-100,US,0,0-100,SHOPIFY,36,0-100
2021-08-25,US,25,0-100,SHOPIFY,Pro,325,100-1k,US,25,0-100,SHOPIFY,325,100-1k
2021-08-25,US,39,0-100,SHOPIFY,Pro,413,100-1k,US,39,0-100,SHOPIFY,413,100-1k
2021-08-25,US,0,0-100,SHOPIFY,Free,564,100-1k,US,0,0-100,SHOPIFY,564,100-1k
2021-08-25,US,38,0-100,SHOPIFY,Pro,42,0-100,US,38,0-100,SHOPIFY,42,0-100
2021-08-25,US,0,0-100,SHOPIFY,Pro,222,100-1k,US,0,0-100,SHOPIFY,222,100-1k
2021-08-25,US,5,0-100,SHOPIFY,Free,10,0-100,US,5,0-100,SHOPIFY,10,0-100
2021-08-25,BR,0,0-100,SHOPIFY,Free,116,100-1k,BR,0,0-100,SHOPIFY,116,100-1k
2021-08-25,US,0,0-100,SHOPIFY,Free,0,0-100,US,0,0-100,SHOPIFY,0,0-100
