#,categories,brands,products,publishedPosts,scheduledPosts,plan
2681,42,71,1189,510,54,Free
198,28,7,56,0,0,Free
4693,16,1,406,0,0,Free
2405,34,6,964,0,0,Free
3727,5,1,35,0,0,Free
3641,4,2,26,28,0,Free
675,,5,,0,0,Free
3182,8,2,127,0,0,Free
1288,3,1,11,6,0,Free
2011,19,2,102,8,0,Free
4057,3,1,23,3,0,Free
4276,9,2,1,3,0,Free
3553,8,59,162,0,0,Free
1967,7,1,28,0,0,Free
3887,99,56,1035,0,0,Free
2767,81,1,276,330,12,Free
2227,16,16,196,4,0,Free
1616,18,3,309,357,7,Free
1566,5,1,17,0,0,Free
3541,20,1,787,6,0,Free
2807,16,50,306,0,0,Free
3469,7,1,8,0,0,Free
3376,21,4,55,0,0,Free
2462,7,1,5,0,0,Free
4755,,1,,0,0,Free
2546,7,4,151,0,0,Free
905,128,65,196,0,0,Free
983,8,2,57,0,0,Free
3207,0,2,0,0,0,Free
2594,8,1,88,96,0,Free
2360,12,1,45,140,0,Free
1885,74,1,2142,300,0,Free
1271,6,2,124,5290,230,Free
2155,5,1,25,24,0,Free
3000,5,4,10,0,0,Free
3656,7,3,34,0,0,Free
4175,7,9,85,0,0,Free
3722,41,2,44,6,0,Free
3728,5,1,30,0,0,Free
698,12,2,47,0,0,Free
4053,1,1,1,0,0,Free
2263,2,2,13,3,0,Free
2162,10,3,8,0,0,Free
3752,23,2,185,24,0,Free
850,97,94,1210,0,0,Free
142,18,2,64,150,0,Free
3562,10,1,56,0,0,Free
2063,78,19,3966,28,0,Free
3912,14,1,117,0,0,Free
2324,14,2,125,892,24,Free
1444,1,1,48,0,0,Free
2812,43,2,277,1600,0,Free
189,146,198,10168,1140,35,Free
1654,8,3,31,0,0,Free
3043,1,1,49,6,0,Free
4576,6,1,19,0,0,Free
3826,8,1,118,36,0,Free
1258,37,31,1086,0,0,Free
1943,37,4,107,4,0,Free
2287,14,2,215,564,0,Free
1860,14,1,54,195,0,Free
4637,8,1,35,0,0,Free
1465,29,12,287,290,0,Free
2802,56,9,303,0,0,Free
3224,,6705,,0,0,Free
3485,25,1,500,482,12,Free
3486,25,1,500,0,0,Free
1969,12,2,255,0,0,Free
3628,16,3,7,0,0,Free
1312,119,17,6439,0,0,Free
2043,7,1,127,0,0,Free
874,22,37,193,0,0,Free
1959,7,1,20,0,0,Free
4578,7,18,10,0,0,Free
1227,48,3,61,0,0,Free
3084,165,9,723,504,14,Free
2190,64,5,1168,0,0,Free
1393,70,13,6343,0,0,Free
782,7,3,183,0,0,Free
3890,25,26,239,0,0,Free
2113,14,4,276,1,0,Free
4489,11,1,66,0,0,Free
2523,19,9,173,8,0,Free
